Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
AXISBANK,EQ,01-Jan-18,563.95,563.8,569.8,560.5,562.95,565.5,565.45,6943234,3926020654,60203,4295836,61.87
AXISBANK,EQ,02-Jan-18,565.5,567,568.6,556.35,558.4,559.5,562.73,6292268,3540878730,75362,3796067,60.33
AXISBANK,EQ,03-Jan-18,559.5,561.3,565.45,555.75,559.75,560.45,560.49,3990149,2236430578,80778,1847503,46.3
AXISBANK,EQ,04-Jan-18,560.45,564.85,565,558,559.2,559.9,560.67,2766664,1551198404,52347,1529795,55.29
AXISBANK,EQ,05-Jan-18,559.9,561.05,566,556.7,564.3,563.25,560.87,3249056,1822289242,66423,1904898,58.63
AXISBANK,EQ,08-Jan-18,563.25,565.8,568,562.45,563.45,565.45,564.97,3770339,2130123814,82634,2439703,64.71
AXISBANK,EQ,09-Jan-18,565.45,564,573,563,564.1,565.3,567.76,4607504,2615956537,91955,2564442,55.66
AXISBANK,EQ,10-Jan-18,565.3,566.15,566.7,560.45,563.55,562.8,562.91,2411625,1357535164,42761,1092127,45.29
AXISBANK,EQ,11-Jan-18,562.8,562,563.15,553.55,559.5,558.75,558.37,2825941,1577915952,56560,999239,35.36
AXISBANK,EQ,12-Jan-18,558.75,560.2,563.4,552.5,556.5,555.1,556.54,6013121,3346534205,64648,3734806,62.11
AXISBANK,EQ,15-Jan-18,555.1,556.7,564.45,556.4,561.2,560.55,560.54,3943472,2210473554,78690,2016416,51.13
AXISBANK,EQ,16-Jan-18,560.55,562.95,566.9,555.8,561.2,563.2,561.66,5993564,3366322334,101529,3222165,53.76
AXISBANK,EQ,17-Jan-18,563.2,564.05,589.3,561,587.8,585.2,575.03,8453944,4861288786,171384,3576554,42.31
AXISBANK,EQ,18-Jan-18,585.2,596,597.15,578.6,584,584.8,590.67,9466991,5591909615,122502,5367287,56.69
AXISBANK,EQ,19-Jan-18,584.8,584.9,594,581.2,591.8,590.25,586.78,3897048,2286703028,74142,1991467,51.1
AXISBANK,EQ,22-Jan-18,590.25,595.95,621.75,583.15,611.3,611.55,607.42,21790443,13235965456,206129,5862132,26.9
