Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
IDFCBANK,EQ,01-Jan-18,54.25,54.4,55.4,54.25,54.95,54.85,54.99,4483875,246557310.4,13554,1862181,41.53
IDFCBANK,EQ,02-Jan-18,54.85,55,55.2,53.75,54.05,53.95,54.26,4912922,266561356.1,15597,2169261,44.15
IDFCBANK,EQ,03-Jan-18,53.95,54.3,54.6,54,54.3,54.15,54.33,3088116,167776663.5,12356,1310381,42.43
IDFCBANK,EQ,04-Jan-18,54.15,54.2,54.7,53.9,54.65,54.55,54.46,3665726,199626489.7,14058,1539016,41.98
IDFCBANK,EQ,05-Jan-18,54.55,54.65,58.8,54.65,58.35,58.25,57.47,24488254,1407426056,61143,9010748,36.8
IDFCBANK,EQ,08-Jan-18,58.25,59.8,64.5,59.2,63.1,63.35,62.04,56535062,3507241104,110683,19262524,34.07
IDFCBANK,EQ,09-Jan-18,63.35,64.45,65,61.65,62.75,62.8,63.28,26555292,1680305469,60083,7446530,28.04
IDFCBANK,EQ,10-Jan-18,62.8,63,63.8,60.5,63.55,63.25,62.18,17303759,1075905522,38428,5293250,30.59
IDFCBANK,EQ,11-Jan-18,63.25,63.1,69,62.75,68.25,68.55,66.96,61336659,4106984639,119766,17813759,29.04
IDFCBANK,EQ,12-Jan-18,68.55,70,70.4,65.4,68.15,67.5,67.49,36576644,2468553134,75501,7282317,19.91
IDFCBANK,EQ,15-Jan-18,67.5,68.7,69,63.9,64.3,64.25,66.4,93824383,6229504466,159215,25521393,27.2
IDFCBANK,EQ,16-Jan-18,64.25,64,64.25,59.75,60.05,60.05,61.4,36754894,2256745214,72892,11934899,32.47
IDFCBANK,EQ,17-Jan-18,60.05,59.95,61.9,59.7,60.65,60.75,60.89,21497491,1308874976,53917,4808506,22.37
IDFCBANK,EQ,18-Jan-18,60.75,61.5,61.9,57.6,58.95,58.3,60.06,23827526,1431092666,50858,8758700,36.76
IDFCBANK,EQ,19-Jan-18,58.3,58.95,59.6,57.25,58.8,58.7,58.49,17391410,1017276934,44082,2727719,15.68
IDFCBANK,EQ,22-Jan-18,58.7,57.8,59.65,57.7,59.35,59.35,58.73,11987498,704070104.1,25287,3360164,28.03
IDFCBANK,EQ,23-Jan-18,59.35,59.25,60.15,58.8,59.45,59.5,59.48,9644493,573646777.8,23195,3274995,33.96
IDFCBANK,EQ,24-Jan-18,59.5,59.35,60.2,58.8,59,59.15,59.57,13383120,797191278.1,27011,3987931,29.8
IDFCBANK,EQ,25-Jan-18,59.15,59.45,59.5,57.95,58.15,58.2,58.48,12008960,702335675.6,18325,5214019,43.42
IDFCBANK,EQ,29-Jan-18,58.2,58.4,59.35,57.7,57.8,57.95,58.4,7929504,463108164.1,19304,2595208,32.73
IDFCBANK,EQ,30-Jan-18,57.95,57.9,57.9,56.9,57.05,57.1,57.24,6949580,397759764.4,19221,2425336,34.9
IDFCBANK,EQ,31-Jan-18,57.1,56.9,57.6,56.5,56.75,56.8,56.94,7085491,403469241.5,24397,2685681,37.9
IDFCBANK,EQ,01-Feb-18,56.8,57,57.1,55.5,56,56.1,56.53,8773135,495983851.5,19309,2514731,28.66
IDFCBANK,EQ,02-Feb-18,56.1,55.65,55.7,52.2,52.45,52.7,53.52,15102385,808231769.4,33466,7140517,47.28
IDFCBANK,EQ,05-Feb-18,52.7,51.35,53.6,50.65,53,52.95,52.45,10014389,525267284.4,25733,4258238,42.52
IDFCBANK,EQ,06-Feb-18,52.95,50,51.9,49.5,51.4,51.3,50.79,13732615,697422990.6,36110,5847121,42.58
IDFCBANK,EQ,07-Feb-18,51.3,52.65,53.2,51.6,52.2,52.2,52.38,12827571,671917175.7,24499,6613498,51.56
IDFCBANK,EQ,08-Feb-18,52.2,52.9,53.8,52.45,53.4,53.25,53.23,9191271,489259128.8,19899,4840149,52.66
IDFCBANK,EQ,09-Feb-18,53.25,52.65,53.7,52.45,53.35,53.2,53.16,7044543,374469671.7,27829,3028622,42.99
IDFCBANK,EQ,12-Feb-18,53.2,53.95,54.1,53.55,53.75,53.65,53.86,7694772,414450231.7,18220,2655103,34.51
IDFCBANK,EQ,14-Feb-18,53.65,53.9,54.6,53.6,53.65,53.8,54.25,5434151,294817328.5,15134,2086464,38.4
IDFCBANK,EQ,15-Feb-18,53.8,53.85,54.1,52.95,53.55,53.25,53.45,4994112,266937434.9,17460,2086031,41.77
IDFCBANK,EQ,16-Feb-18,53.25,53.65,53.75,52.4,53.15,53.1,52.96,10752129,569472957.9,19457,4517495,42.01
IDFCBANK,EQ,19-Feb-18,53.1,53.2,53.2,51.85,52.65,52.25,52.33,6391763,334502543.6,14862,3226622,50.48
IDFCBANK,EQ,20-Feb-18,52.25,52.7,52.9,52.1,52.25,52.2,52.49,3366449,176698981,14366,1380977,41.02
IDFCBANK,EQ,21-Feb-18,52.2,52.8,52.8,52,52.2,52.35,52.3,3520590,184143840.2,11386,1790912,50.87
IDFCBANK,EQ,22-Feb-18,52.35,52.2,52.2,51.2,51.25,51.4,51.54,10329078,532357094,17489,5586479,54.08
IDFCBANK,EQ,23-Feb-18,51.4,51.65,52.05,51.45,52,51.95,51.89,4621871,239810848.5,17731,2113296,45.72
IDFCBANK,EQ,26-Feb-18,51.95,52.35,52.85,51.8,52.3,52.3,52.3,4829046,252543469.9,16277,1865908,38.64
IDFCBANK,EQ,27-Feb-18,52.3,52.4,52.55,51.75,51.85,52.05,52.04,3671559,191083886.1,12358,1762361,48
IDFCBANK,EQ,28-Feb-18,52.05,51.7,51.9,51.35,51.5,51.5,51.58,3888834,200570415.3,18958,2163024,55.62
IDFCBANK,EQ,01-Mar-18,51.5,51.4,52.75,51.3,51.75,51.85,51.9,3970049,206063808.6,19954,1396153,35.17
IDFCBANK,EQ,05-Mar-18,51.85,51.85,51.85,50.25,50.8,50.85,50.79,5775616,293315320.1,19843,2547125,44.1
IDFCBANK,EQ,06-Mar-18,50.85,51.2,51.5,49.9,50.2,50.15,50.78,3764846,191169743.4,13530,1744578,46.34
IDFCBANK,EQ,07-Mar-18,50.15,50.15,50.15,48.65,48.65,48.9,49.27,7424561,365821515.7,19234,3911518,52.68
IDFCBANK,EQ,08-Mar-18,48.9,49.25,49.8,48,49.3,49.45,48.93,4768325,233322607.1,16378,1649841,34.6
IDFCBANK,EQ,09-Mar-18,49.45,49.85,50.7,49.4,50,49.95,50.05,9719359,486473920,19917,3262527,33.57
IDFCBANK,EQ,12-Mar-18,49.95,50.45,51.4,49.1,49.8,49.75,50.06,25250231,1264045148,23403,2000847,7.92
IDFCBANK,EQ,13-Mar-18,49.75,49.75,50.6,49.6,50.15,50.15,50.15,4983558,249920757.1,12420,1657868,33.27
IDFCBANK,EQ,14-Mar-18,50.15,50,50.65,49.85,50.4,50.3,50.2,9769250,490416771.3,14661,3455013,35.37
IDFCBANK,EQ,15-Mar-18,50.3,50.35,50.6,50.05,50.4,50.25,50.28,6536228,328663802.6,13946,2475275,37.87
IDFCBANK,EQ,16-Mar-18,50.25,50.6,50.8,50.05,50.15,50.2,50.38,11275471,568109577.5,23907,6478961,57.46
IDFCBANK,EQ,19-Mar-18,50.2,50.3,50.55,49.15,49.55,49.35,49.69,5044535,250655244.2,19290,2340600,46.4
IDFCBANK,EQ,20-Mar-18,49.35,49.1,50.05,49,49.4,49.25,49.51,4767934,236078869.6,14960,2190996,45.95
IDFCBANK,EQ,21-Mar-18,49.25,49.45,50.05,49.25,49.25,49.3,49.57,3564759,176688590.6,13129,1544292,43.32
IDFCBANK,EQ,22-Mar-18,49.3,49.35,49.9,49,49.1,49.1,49.32,5312705,262039633.3,19485,2124737,39.99
IDFCBANK,EQ,23-Mar-18,49.1,48.05,48.55,47.4,47.65,47.75,47.77,12347434,589815944.6,42205,6519850,52.8
IDFCBANK,EQ,26-Mar-18,47.75,47.75,47.95,47.15,47.6,47.5,47.48,14745730,700150474.9,35634,10149870,68.83
IDFCBANK,EQ,27-Mar-18,47.5,48.7,49.45,48.1,48.8,48.75,48.76,15376169,749817998.3,47361,7188217,46.75
IDFCBANK,EQ,28-Mar-18,48.75,48.5,49.2,47.2,47.35,47.35,47.96,11112846,532976587.9,26570,5334861,48.01
IDFCBANK,EQ,02-Apr-18,47.35,48.2,48.3,47.55,48,47.95,47.98,6476289,310729710.4,23468,3267415,50.45
IDFCBANK,EQ,03-Apr-18,47.95,48.1,48.9,47.7,48.85,48.75,48.26,4690349,226373623.8,18455,1412651,30.12
IDFCBANK,EQ,04-Apr-18,48.75,49.05,49.4,48.05,48.2,48.25,48.69,5579913,271695136.2,17642,1963225,35.18
IDFCBANK,EQ,05-Apr-18,48.25,48.85,49.95,48.6,49.65,49.5,49.35,6800298,335590465.8,16308,2497741,36.73
IDFCBANK,EQ,06-Apr-18,49.5,49.75,50.05,49.3,49.9,49.85,49.82,6249655,311384068.5,17318,1631075,26.1
IDFCBANK,EQ,09-Apr-18,49.85,50.15,51.05,49.95,50.4,50.35,50.54,7027612,355156959.9,21341,2387761,33.98
IDFCBANK,EQ,10-Apr-18,50.35,50.65,50.65,49.15,49.55,49.6,49.76,6534470,325138226.8,19418,2374362,36.34
IDFCBANK,EQ,11-Apr-18,49.6,49.8,49.8,48.75,49.25,49.4,49.25,5119336,252122097.3,13199,2222259,43.41
IDFCBANK,EQ,12-Apr-18,49.4,49.3,49.3,48.65,48.9,48.9,48.97,3788537,185536946.5,11378,1693458,44.7
IDFCBANK,EQ,13-Apr-18,48.9,49.15,49.35,48.8,49,48.95,49.05,3468311,170121412.9,9723,1642042,47.34
IDFCBANK,EQ,16-Apr-18,48.95,48.6,49.4,48.5,49,49.05,49.01,2890445,141651371.7,9931,1047199,36.23
IDFCBANK,EQ,17-Apr-18,49.05,49.3,49.65,49,49.2,49.15,49.25,2904195,143023708,14755,1032096,35.54
IDFCBANK,EQ,18-Apr-18,49.15,49.35,50.05,49.05,49.5,49.45,49.65,5777892,286884318.8,15396,2351914,40.71
IDFCBANK,EQ,19-Apr-18,49.45,49.5,49.55,49.1,49.35,49.35,49.32,2572108,126850772.5,10204,954878,37.12
IDFCBANK,EQ,20-Apr-18,49.35,49.35,49.4,48.45,48.7,48.65,48.75,3593363,175191020.4,17699,1441364,40.11
IDFCBANK,EQ,23-Apr-18,48.65,48.8,49.25,48.3,48.5,48.5,48.55,5367087,260553502.4,13685,2242176,41.78
IDFCBANK,EQ,24-Apr-18,48.5,48.5,48.65,47.6,47.8,47.8,48.04,6382402,306586692.4,18787,3278810,51.37
IDFCBANK,EQ,25-Apr-18,47.8,48.2,48.4,47.1,47.45,47.4,47.71,8002374,381772177.4,19567,2094198,26.17
IDFCBANK,EQ,26-Apr-18,47.4,47.75,47.9,47,47.1,47.2,47.43,12010379,569595524,29139,5070281,42.22
IDFCBANK,EQ,27-Apr-18,47.2,47.4,48.7,47.35,47.8,47.95,48.06,10088314,484841302.6,28029,3682904,36.51
IDFCBANK,EQ,30-Apr-18,47.95,48,48.45,47.8,48.25,48.35,48.18,7170063,345451210.4,21221,3059396,42.67
IDFCBANK,EQ,02-May-18,48.35,48.25,48.6,47.55,47.75,47.8,48.07,7264639,349213167.8,17939,3885143,53.48
IDFCBANK,EQ,03-May-18,47.8,47.9,47.9,46.6,46.65,46.75,46.94,8835739,414735523.2,37734,4830079,54.67
IDFCBANK,EQ,04-May-18,46.75,46.5,47.15,46.2,46.5,46.4,46.6,14673745,683776863.6,33701,7889210,53.76
IDFCBANK,EQ,07-May-18,46.4,46.7,46.75,45.65,45.8,45.85,45.91,5165742,237150603.8,17685,2350496,45.5
IDFCBANK,EQ,08-May-18,45.85,46,46.4,45.45,45.55,45.55,45.79,7771242,355878263.9,15078,4199598,54.04
IDFCBANK,EQ,09-May-18,45.55,45.75,45.95,45.25,45.3,45.4,45.6,3818007,174109977.9,9262,1742894,45.65
IDFCBANK,EQ,10-May-18,45.4,45.5,45.6,43.55,43.55,43.7,44.19,12596470,556632707.4,24117,5531630,43.91
IDFCBANK,EQ,11-May-18,43.7,43.85,44.7,43.35,43.85,43.9,44.04,7116447,313428712.4,13999,2887186,40.57
IDFCBANK,EQ,14-May-18,43.9,44,44.15,42.2,42.2,42.3,42.86,9500187,407144163.1,21439,4052386,42.66
IDFCBANK,EQ,15-May-18,42.3,42.3,42.6,40.5,41,41,41.63,24580216,1023194645,40620,9807340,39.9
IDFCBANK,EQ,16-May-18,41,40.75,41.65,40.4,41.55,41.4,41.04,12575453,516048808.9,40915,5769969,45.88
IDFCBANK,EQ,17-May-18,41.4,41.55,42.4,41.2,42.2,42.2,41.93,10114845,424155543.9,29129,4591470,45.39
IDFCBANK,EQ,18-May-18,42.2,42.5,42.5,40.7,41.2,41,41.32,9845560,406777329.4,22810,3889332,39.5
IDFCBANK,EQ,21-May-18,41,41.2,41.4,39.85,40.3,40.25,40.39,6030983,243579263.4,14017,2028760,33.64
IDFCBANK,EQ,22-May-18,40.25,40.7,41.7,39.9,41.35,41.3,40.96,7571870,310174153.5,13542,2774283,36.64
IDFCBANK,EQ,23-May-18,41.3,41.35,41.35,40.35,40.4,40.45,40.69,4737524,192761603.9,15064,1900374,40.11
IDFCBANK,EQ,24-May-18,40.45,40.65,40.65,39.45,40.05,40.05,39.94,5615542,224299304.2,13956,1683677,29.98
IDFCBANK,EQ,25-May-18,40.05,39.9,41.05,39.75,40.9,40.85,40.43,8650285,349730852.2,15086,3998338,46.22
IDFCBANK,EQ,28-May-18,40.85,41.25,42.4,40.9,42.2,42.1,41.84,10617865,444262306,25712,4566681,43.01
IDFCBANK,EQ,29-May-18,42.1,42.25,42.4,40.75,40.95,40.85,41.3,9655468,398737013.4,19684,5172930,53.58
IDFCBANK,EQ,30-May-18,40.85,40.45,40.6,39.9,40.15,40.05,40.21,12789344,514210734.6,24812,7203815,56.33
IDFCBANK,EQ,31-May-18,40.05,40.2,41.4,39.4,40.7,40.7,40.61,167774948,6813712152,102829,103847420,61.9
IDFCBANK,EQ,01-Jun-18,40.7,40.9,42,40.5,40.65,40.75,41.1,23193962,953354172.4,25204,11472355,49.46
IDFCBANK,EQ,04-Jun-18,40.75,40.85,41,38.8,39.05,39.15,39.62,17642107,699055103.8,22119,8735624,49.52
IDFCBANK,EQ,05-Jun-18,39.15,39.1,39.2,37.6,38.5,38.35,38.38,13819938,530414915.8,27241,6491593,46.97
IDFCBANK,EQ,06-Jun-18,38.35,39.55,41.55,38.95,41.05,41,40.46,40807173,1651198996,61771,10111550,24.78
IDFCBANK,EQ,07-Jun-18,41,41.65,42.55,41.3,42.05,42.05,42.04,17309822,727781530.6,27776,5063871,29.25
IDFCBANK,EQ,08-Jun-18,42.05,41.95,42.35,41.5,41.8,41.9,41.93,6699914,280904388.8,13341,2146634,32.04
IDFCBANK,EQ,11-Jun-18,41.9,41.85,43,41.35,41.95,42.15,42.43,10525143,446558882.6,19550,4229242,40.18
IDFCBANK,EQ,12-Jun-18,42.15,42.4,43.25,42,43.2,42.95,42.68,14516588,619507860.8,15139,6759089,46.56
IDFCBANK,EQ,13-Jun-18,42.95,43.2,44.35,42.9,43.75,43.75,43.81,11565781,506750723.9,24427,5218949,45.12
IDFCBANK,EQ,14-Jun-18,43.75,43.75,44.35,43.4,44.2,44.15,43.84,13493630,591616784,19026,6139020,45.5
IDFCBANK,EQ,15-Jun-18,44.15,44.25,44.6,42.95,43.15,43.25,43.86,18953342,831273594.9,26703,9337668,49.27
IDFCBANK,EQ,18-Jun-18,43.25,43.35,43.7,41.85,42.4,42.4,42.87,16547968,709469697.7,22941,6107251,36.91
IDFCBANK,EQ,19-Jun-18,42.4,42.2,42.2,41,41.05,41.15,41.44,7183132,297651569.3,15532,2385682,33.21
IDFCBANK,EQ,20-Jun-18,41.15,41.05,42.45,41.05,42.05,42.2,41.79,8515031,355827510.2,14228,3585106,42.1
IDFCBANK,EQ,21-Jun-18,42.2,42.3,42.75,42.1,42.5,42.5,42.42,24126937,1023459481,15626,15055584,62.4
IDFCBANK,EQ,22-Jun-18,42.5,42.25,42.4,41.4,42.05,42.05,41.89,20975851,878745495.8,13780,11599319,55.3
IDFCBANK,EQ,25-Jun-18,42.05,42.2,42.5,41.5,41.75,42.25,42.23,13476120,569160402.8,13199,7140352,52.99
IDFCBANK,EQ,26-Jun-18,42.25,41.75,42,41.25,41.55,41.7,41.74,7210132,300930793.8,14546,2175074,30.17
IDFCBANK,EQ,27-Jun-18,41.7,41.7,41.7,40.3,40.8,40.95,40.73,14606790,594869583.9,19241,6120507,41.9
IDFCBANK,EQ,28-Jun-18,40.95,40.9,41.15,38.8,39.25,39.3,39.53,77656518,3069828699,43357,42318043,54.49
IDFCBANK,EQ,29-Jun-18,39.3,39.25,39.95,38.75,38.8,38.85,39.22,11119123,436091277.2,21598,3510391,31.57
IDFCBANK,EQ,02-Jul-18,38.85,39.05,39.3,38.35,38.65,38.6,38.89,11955346,464958496.7,16750,6685362,55.92
IDFCBANK,EQ,03-Jul-18,38.6,38.7,39.65,38.35,39.1,39.2,39.08,16280684,636177279.1,21549,9079968,55.77
IDFCBANK,EQ,04-Jul-18,39.2,39.2,39.85,38.9,39.35,39.4,39.4,13407190,528210288,13940,8554302,63.8
IDFCBANK,EQ,05-Jul-18,39.4,39.55,39.55,38.25,38.25,38.35,38.71,7371817,285344503.1,12100,3067658,41.61
IDFCBANK,EQ,06-Jul-18,38.35,38.25,39.2,37.85,38.9,38.9,38.79,11028599,427813023.9,14256,4567869,41.42
