"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BANKBARODA","EQ","01-Jan-2018","        160.65","        161.00","        163.90","        160.85","        161.35","        161.50","        162.36","    7408273","          1202788847.85","      28575","    2376161","         32.07"
"BANKBARODA","EQ","02-Jan-2018","        161.50","        161.90","        162.50","        156.50","        157.90","        157.95","        158.50","   11611821","          1840491600.55","      67968","    3368812","         29.01"
"BANKBARODA","EQ","03-Jan-2018","        157.95","        158.65","        159.60","        157.05","        157.80","        157.85","        158.23","    8271671","          1308785585.20","      56240","    2521673","         30.49"
"BANKBARODA","EQ","04-Jan-2018","        157.85","        158.50","        165.30","        157.50","        164.40","        163.90","        162.90","   17214456","          2804259594.50","      80546","    5488042","         31.88"
"BANKBARODA","EQ","05-Jan-2018","        163.90","        165.15","        166.50","        161.25","        161.90","        161.80","        163.20","   11233822","          1833398715.70","      50124","    2930382","         26.09"
"BANKBARODA","EQ","08-Jan-2018","        161.80","        162.10","        164.05","        160.80","        161.70","        161.65","        162.12","    6316362","          1024013321.55","      42880","    2168744","         34.34"
"BANKBARODA","EQ","09-Jan-2018","        161.65","        161.75","        165.40","        161.60","        164.25","        164.50","        163.73","   10305337","          1687258516.70","     106600","    3407032","         33.06"
"BANKBARODA","EQ","10-Jan-2018","        164.50","        164.25","        165.80","        161.05","        162.45","        162.50","        163.13","   10993630","          1793435445.05","      64289","    4983475","         45.33"
"BANKBARODA","EQ","11-Jan-2018","        162.50","        162.50","        163.90","        161.60","        163.10","        163.30","        162.72","    6879490","          1119447976.20","      36899","    2084452","         30.30"
"BANKBARODA","EQ","12-Jan-2018","        163.30","        163.75","        164.20","        160.35","        162.35","        163.00","        162.49","    8826985","          1434314943.20","      41092","    3386463","         38.36"
"BANKBARODA","EQ","15-Jan-2018","        163.00","        163.50","        165.00","        162.80","        164.50","        164.40","        163.98","    7054678","          1156807714.35","      53566","    2922525","         41.43"
"BANKBARODA","EQ","16-Jan-2018","        164.40","        164.60","        166.60","        156.20","        157.10","        156.95","        160.92","   15621689","          2513836108.80","     105882","    5891531","         37.71"
"BANKBARODA","EQ","17-Jan-2018","        156.95","        156.95","        165.80","        154.55","        165.40","        165.20","        161.42","   17556659","          2834001611.00","      77712","    5793930","         33.00"
"BANKBARODA","EQ","18-Jan-2018","        165.20","        169.00","        171.00","        160.70","        162.70","        162.35","        165.17","   16765567","          2769194223.65","      83595","    6677424","         39.83"
"BANKBARODA","EQ","19-Jan-2018","        162.35","        162.00","        166.65","        161.45","        166.00","        165.40","        164.62","    8533716","          1404783484.75","      45671","    2085900","         24.44"
"BANKBARODA","EQ","22-Jan-2018","        165.40","        166.00","        167.65","        163.20","        164.40","        164.80","        165.18","    8918325","          1473158546.75","      42275","    3102618","         34.79"
"BANKBARODA","EQ","23-Jan-2018","        164.80","        164.95","        174.00","        164.50","        173.25","        173.15","        169.08","   18168528","          3072020773.20","     110329","    6774621","         37.29"
"BANKBARODA","EQ","24-Jan-2018","        173.15","        173.15","        179.70","        170.35","        178.05","        178.35","        175.37","   21139975","          3707290681.40","     131782","    4768553","         22.56"
"BANKBARODA","EQ","25-Jan-2018","        178.35","        178.80","        178.80","        166.45","        166.90","        167.15","        170.69","   24579032","          4195496068.10","      98286","    9386555","         38.19"
"BANKBARODA","EQ","29-Jan-2018","        167.15","        168.30","        168.90","        161.30","        162.15","        162.35","        164.05","   12013160","          1970776143.35","      64043","    4207489","         35.02"
"BANKBARODA","EQ","30-Jan-2018","        162.35","        162.00","        164.20","        159.80","        160.05","        160.20","        161.84","   11158191","          1805847533.40","      47507","    2857859","         25.61"
"BANKBARODA","EQ","31-Jan-2018","        160.20","        159.20","        161.80","        155.50","        156.35","        156.80","        157.78","   13420760","          2117524348.30","      90998","    5149550","         38.37"
"BANKBARODA","EQ","01-Feb-2018","        156.80","        158.05","        158.60","        151.75","        152.25","        152.35","        155.51","   12039264","          1872204496.10","      62803","    4184833","         34.76"
"BANKBARODA","EQ","02-Feb-2018","        152.35","        150.20","        156.70","        148.20","        153.00","        153.20","        152.61","   24420057","          3726786696.65","     111055","   10621430","         43.49"
"BANKBARODA","EQ","05-Feb-2018","        153.20","        150.60","        158.55","        149.00","        157.10","        157.50","        155.71","   13827865","          2153145621.00","     105708","    4644907","         33.59"
"BANKBARODA","EQ","06-Feb-2018","        157.50","        150.00","        156.00","        148.00","        155.10","        154.45","        152.59","   11335878","          1729706024.40","      65226","    3026781","         26.70"
"BANKBARODA","EQ","07-Feb-2018","        154.45","        156.00","        156.80","        152.70","        153.75","        153.95","        154.58","    9997661","          1545396500.10","      57300","    2478281","         24.79"
"BANKBARODA","EQ","08-Feb-2018","        153.95","        154.00","        157.35","        153.50","        156.20","        156.20","        155.55","    6839457","          1063847976.20","      41035","    1435074","         20.98"
"BANKBARODA","EQ","09-Feb-2018","        156.20","        153.25","        158.35","        152.50","        156.30","        156.25","        154.61","    6223913","           962251361.50","      35085","     869280","         13.97"
"BANKBARODA","EQ","12-Feb-2018","        156.25","        159.00","        172.90","        159.00","        168.90","        168.65","        167.61","   48926198","          8200453994.70","     215495","   13475626","         27.54"
"BANKBARODA","EQ","14-Feb-2018","        168.65","        167.00","        172.00","        163.80","        163.90","        165.80","        167.80","   28561359","          4792458119.10","     116938","   11320768","         39.64"
"BANKBARODA","EQ","15-Feb-2018","        165.80","        163.90","        167.20","        157.10","        159.05","        159.05","        161.78","   17565094","          2841704066.60","      89371","    3258822","         18.55"
"BANKBARODA","EQ","16-Feb-2018","        159.05","        159.40","        160.40","        150.60","        153.40","        152.40","        154.17","   22647050","          3491406250.25","      86760","    5814269","         25.67"
"BANKBARODA","EQ","19-Feb-2018","        152.40","        150.00","        152.85","        138.20","        143.80","        143.85","        144.62","   37226788","          5383621085.20","     133861","    7872610","         21.15"
"BANKBARODA","EQ","20-Feb-2018","        143.85","        140.50","        148.30","        140.30","        144.45","        144.80","        144.48","   26441686","          3820355772.60","     114034","    4793734","         18.13"
"BANKBARODA","EQ","21-Feb-2018","        144.80","        146.75","        147.20","        142.30","        145.35","        145.90","        144.85","   13511046","          1957027240.00","      58717","    2218575","         16.42"
"BANKBARODA","EQ","22-Feb-2018","        145.90","        144.05","        146.60","        142.30","        143.30","        143.40","        144.52","   16126505","          2330681760.60","      59589","    7503020","         46.53"
"BANKBARODA","EQ","23-Feb-2018","        143.40","        145.70","        148.20","        144.70","        146.05","        145.55","        146.46","   14280404","          2091508395.05","      58924","    4279354","         29.97"
"BANKBARODA","EQ","26-Feb-2018","        145.55","        148.00","        148.30","        143.20","        143.35","        143.75","        145.02","   12120874","          1757749948.10","      61669","    3730295","         30.78"
"BANKBARODA","EQ","27-Feb-2018","        143.75","        143.40","        144.00","        138.20","        141.70","        141.45","        141.10","   18251152","          2575177153.05","      70732","    5155785","         28.25"
"BANKBARODA","EQ","28-Feb-2018","        141.45","        139.00","        143.50","        138.00","        141.60","        141.95","        140.78","   15443300","          2174079372.40","      65991","    3293246","         21.32"
"BANKBARODA","EQ","01-Mar-2018","        141.95","        141.80","        143.60","        137.80","        138.35","        138.30","        140.74","   13912882","          1958087304.00","      57549","    2810664","         20.20"
