Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),Return ,,,
01-Jan-18,25565.75,25588,25271.55,25318.1,57576913,2037.55,,,,
02-Jan-18,25382.2,25425.5,25232.8,25338.25,72033811,2270.36,0.000795557,,,
03-Jan-18,25425.75,25454.9,25300.9,25318.6,59730356,1958.21,-0.000775808,,,
04-Jan-18,25367.65,25490.35,25310.3,25462.6,105995860,2646.62,0.005671405,,,
05-Jan-18,25524.45,25643.35,25499.55,25601.85,123622612,3188.08,0.005453906,,,
08-Jan-18,25690.25,25771.5,25643.8,25676.1,127527935,2727.53,0.002895984,,,
09-Jan-18,25727.95,25803.8,25617.25,25703.8,101820385,2617.13,0.001078243,,,
10-Jan-18,25709.9,25717.6,25527.5,25617.3,81094270,2168.32,-0.003370936,,,
11-Jan-18,25628.2,25694.65,25532.25,25660.9,122695505,2960.91,0.001700528,,,0.000354633
12-Jan-18,25732.4,25775.15,25557.6,25749.05,110836433,2926.84,0.003429301,,,
15-Jan-18,25858.15,26091.8,25842.95,26069.2,192163936,4226.08,0.012356808,,,
16-Jan-18,26129.15,26136.4,25931.7,25974.9,169867241,3770.65,-0.003623854,,,
17-Jan-18,25946.15,26335.85,25922.3,26289.1,172092208,4554.66,0.012023717,,,
18-Jan-18,26762.25,26887.65,26423.75,26537.4,224021671,7050.86,0.009400654,,,
19-Jan-18,26615.65,26957.85,26433.55,26909.5,134390957,4160.2,0.013924325,,,
22-Jan-18,26940.5,27074.9,26841.2,27041.2,113869602,4222.79,0.004882245,,,
23-Jan-18,27089.95,27422.05,27066.15,27390.6,169332288,5229.45,0.01283826,,,
24-Jan-18,27310.15,27479.25,27219.45,27398.55,174331160,4734.19,0.000290203,,,
25-Jan-18,27414.1,27522.85,27151.75,27445.65,193342305,6057.2,0.001717593,,,
29-Jan-18,27446.1,27652.05,27407.4,27498.45,114099251,3779.23,0.001921954,,,
30-Jan-18,27466.85,27470.25,27242.05,27269.05,111009534,3453.72,-0.00837728,,,
31-Jan-18,27136.25,27455.75,27116.95,27379.45,109507598,3640.41,0.004040373,,,
01-Feb-18,27334.85,27613.5,27046.35,27220.7,131188028,4790.53,-0.005815019,,,
02-Feb-18,27017.4,27017.55,26364.05,26451.15,147521488,4330.16,-0.028678078,,,
05-Feb-18,25968.15,26215.1,25917.55,26098.75,122729724,3842.46,-0.013412215,,,
06-Feb-18,25140.1,26140.6,25023.85,25811.3,153713739,4777.31,-0.01107504,,,
07-Feb-18,26065.4,26078.4,25558.05,25670,121038215,3663.61,-0.005489386,,,
08-Feb-18,25759.85,26126.4,25637.4,25920.65,91011548,2686.18,0.009716953,,,
09-Feb-18,25466.3,25598.3,25371,25463.65,75985052,2520.27,-0.017788003,,,
12-Feb-18,25530.1,25757.85,25485.4,25701.6,161180184,4127.51,0.009301302,,,
14-Feb-18,25810.25,25810.25,25212.35,25341.25,197286979,4757.09,-0.014119744,,,
15-Feb-18,25360.9,25615.15,25295.15,25424.35,291475391,6015.58,0.003273873,,,
