"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PNB","EQ","01-Jan-2018","        171.40","        172.95","        173.40","        168.90","        169.70","        169.75","        171.31","    7869149","          1348032197.00","      35893","    1423821","         18.09"
"PNB","EQ","02-Jan-2018","        169.75","        170.50","        170.90","        165.40","        166.15","        166.40","        167.26","   13729132","          2296383278.05","      54266","    3567217","         25.98"
"PNB","EQ","03-Jan-2018","        166.40","        168.00","        169.30","        166.20","        166.50","        166.60","        167.66","    8534233","          1430884733.85","      36317","    1413490","         16.56"
"PNB","EQ","04-Jan-2018","        166.60","        167.35","        179.70","        165.40","        178.00","        176.45","        172.88","   31613344","          5465302501.70","     121680","    9106491","         28.81"
"PNB","EQ","05-Jan-2018","        176.45","        180.40","        180.50","        175.40","        176.05","        176.00","        177.47","   15500426","          2750899295.70","      64260","    2886355","         18.62"
"PNB","EQ","08-Jan-2018","        176.00","        177.05","        178.15","        175.10","        175.65","        175.70","        176.41","    7302294","          1288170169.05","      37673","    2078930","         28.47"
"PNB","EQ","09-Jan-2018","        175.70","        175.30","        177.90","        174.05","        174.55","        174.65","        176.09","   11152776","          1963904063.40","      42093","    1919693","         17.21"
"PNB","EQ","10-Jan-2018","        174.65","        174.45","        174.90","        170.00","        170.10","        170.65","        171.90","    9021131","          1550728455.35","      44835","    2239225","         24.82"
"PNB","EQ","11-Jan-2018","        170.65","        170.30","        173.60","        169.55","        173.30","        172.75","        171.84","    8683986","          1492224624.40","      35136","    2854421","         32.87"
"PNB","EQ","12-Jan-2018","        172.75","        173.50","        174.90","        171.45","        174.50","        174.20","        173.30","   11223630","          1945015985.05","      48951","    3181557","         28.35"
"PNB","EQ","15-Jan-2018","        174.20","        174.95","        175.85","        171.85","        172.05","        172.15","        173.69","    7104648","          1234018255.55","      31984","    1377316","         19.39"
"PNB","EQ","16-Jan-2018","        172.15","        172.25","        172.95","        165.10","        165.70","        165.55","        168.39","   11916843","          2006678919.50","      52318","    4407267","         36.98"
"PNB","EQ","17-Jan-2018","        165.55","        165.50","        177.00","        162.65","        176.50","        175.55","        170.24","   25299752","          4307074228.30","     112693","    6443514","         25.47"
"PNB","EQ","18-Jan-2018","        175.55","        180.70","        182.75","        168.65","        170.35","        170.50","        176.38","   32923946","          5807099731.40","     122684","    9442984","         28.68"
"PNB","EQ","19-Jan-2018","        170.50","        170.80","        178.00","        169.35","        176.90","        176.40","        174.60","   21519974","          3757406127.60","      82002","    2831150","         13.16"
"PNB","EQ","22-Jan-2018","        176.40","        176.10","        177.30","        172.20","        176.20","        176.00","        174.99","   11370450","          1989668155.05","      53117","    1499109","         13.18"
"PNB","EQ","23-Jan-2018","        176.00","        176.05","        187.80","        175.25","        186.00","        185.80","        182.22","   28176767","          5134408465.90","     126351","    7040900","         24.99"
"PNB","EQ","24-Jan-2018","        185.80","        185.25","        196.35","        182.10","        195.45","        194.65","        189.78","   50753260","          9631897382.05","     202903","    7838343","         15.44"
"PNB","EQ","25-Jan-2018","        194.65","        197.00","        197.00","        180.00","        181.40","        180.90","        184.93","   45808402","          8471233858.30","     168212","   10313389","         22.51"
"PNB","EQ","29-Jan-2018","        180.90","        181.70","        182.35","        172.60","        173.00","        173.95","        176.95","   18481283","          3270351905.05","      82440","    3354700","         18.15"
"PNB","EQ","30-Jan-2018","        173.95","        173.30","        175.90","        171.40","        172.25","        172.65","        173.47","   16914910","          2934151011.85","      78294","    1998243","         11.81"
"PNB","EQ","31-Jan-2018","        172.65","        171.50","        175.20","        168.80","        170.90","        171.35","        171.88","   15313331","          2632087998.50","      76747","    2136398","         13.95"
"PNB","EQ","01-Feb-2018","        171.35","        172.80","        174.60","        166.00","        167.20","        167.55","        170.02","   15801115","          2686546719.85","      74929","    4161682","         26.34"
