Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Return,,,
,,,,,,,,312.6,,,,,,,,,,
YESBANK,EQ,02-Jan-18,312.6,313.4,314,307.15,312.4,311.65,311.22,5224976,1626138862,46756,2311557,44.24,-0.003043655,,,
YESBANK,EQ,03-Jan-18,311.65,312,316.5,311.15,316,315.85,314.93,5672263,1786344789,71484,3204850,56.5,0.013386654,,,
YESBANK,EQ,04-Jan-18,315.85,316,318.4,313,317.55,317.1,315.25,5667580,1786710637,53032,3393867,59.88,0.003949764,,,
YESBANK,EQ,05-Jan-18,317.1,317.5,337.9,317.45,332.9,332.85,331.43,30720675,10181639178,249040,12435555,40.48,0.048474757,,,
YESBANK,EQ,08-Jan-18,332.85,336,341.3,331.3,333.15,333.6,336.48,12747890,4289450275,132566,4972063,39,0.002250732,,,
YESBANK,EQ,09-Jan-18,333.6,334.9,342.8,327.55,341.5,341.35,337.37,13282560,4481132099,163402,6059005,45.62,0.022965673,,,
YESBANK,EQ,10-Jan-18,341.35,341.5,342.35,335.45,338.75,339.8,339.01,10385044,3520586289,97750,5161519,49.7,-0.004551135,,,
YESBANK,EQ,11-Jan-18,339.8,339,344.25,335.3,342.35,343.15,340.85,8266266,2817559600,78837,3766252,45.56,0.00981046,,,
YESBANK,EQ,12-Jan-18,343.15,344.1,344.7,337.55,340.05,340.9,340.71,5688676,1938169153,62206,2061848,36.24,-0.00657849,,,
YESBANK,EQ,15-Jan-18,340.9,341.9,343.7,335.1,336.15,336,338.87,7142164,2420281049,62966,2612713,36.58,-0.014478019,,,
YESBANK,EQ,16-Jan-18,336,336,338.75,328,334.65,334.85,334.19,7296505,2438438050,76996,2411672,33.05,-0.00342849,,,0.000940702
YESBANK,EQ,17-Jan-18,334.85,335.1,343.5,331.4,342.4,342.4,337.63,7985222,2696017702,102872,3310146,41.45,0.022296974,,,
YESBANK,EQ,18-Jan-18,342.4,350,356.9,332.35,346.35,341.2,348.88,35465087,12373151525,237760,12816508,36.14,-0.003510829,,,
YESBANK,EQ,19-Jan-18,341.2,347.5,352.25,339.1,348.75,349.35,345.88,21425789,7410763849,190091,6397846,29.86,0.023605469,,,
YESBANK,EQ,22-Jan-18,349.35,349.95,358.25,348.75,357.8,355.35,353.47,13456538,4756539788,137787,7156508,53.18,0.017028934,,,
YESBANK,EQ,23-Jan-18,355.35,359.85,360.4,352.3,359.45,359.55,357.15,10196645,3641713783,124739,5058943,49.61,0.01175003,,,
YESBANK,EQ,24-Jan-18,359.55,357,366.3,356,364.7,364.8,362.69,11258771,4083464783,111438,5020092,44.59,0.014496009,,,
YESBANK,EQ,25-Jan-18,364.8,364.5,364.5,355.65,361.2,361.6,359.57,8963188,3222876010,124349,3893311,43.44,-0.00881063,,,
YESBANK,EQ,29-Jan-18,361.6,361.2,363.7,355.55,357.3,358,359.49,7931235,2851222629,96485,4412486,55.63,-0.010005642,,,
